file	date	bottle	composition_id	temperature_treatment	magnification	dilution_factor	sample	video
20201113_00001	9999.99.99	b_01	c_01	constant	16	1	1	1
20201113_00002	9999.99.99	b_01	c_01	constant	16	1	1	2
20201113_00003	9999.99.99	b_01	c_01	constant	16	1	1	3
20201113_00004	9999.99.99	b_02	c_02	constant	16	1	1	1
20201113_00005	9999.99.99	b_02	c_02	constant	16	1	1	2
20201113_00006	9999.99.99	b_02	c_02	constant	16	1	1	3
20201114_00001	9999.99.99	b_03	c_03	constant	16	1	1	1
20201114_00002	9999.99.99	b_03	c_03	constant	16	1	1	2
20201114_00003	9999.99.99	b_03	c_03	constant	16	1	1	3
20201114_00004	9999.99.99	b_04	c_04	constant	16	1	1	1
20201114_00005	9999.99.99	b_04	c_04	constant	16	1	1	2
20201114_00006	9999.99.99	b_04	c_04	constant	16	1	1	3
20201115_00001	9999.99.99	b_05	c_05	constant	16	1	1	1
20201115_00002	9999.99.99	b_05	c_05	constant	16	1	1	2
20201115_00003	9999.99.99	b_05	c_05	constant	16	1	1	3
20201115_00004	9999.99.99	b_06	c_06	constant	16	1	1	1
20201115_00005	9999.99.99	b_06	c_06	constant	16	1	1	2
20201115_00006	9999.99.99	b_06	c_06	constant	16	1	1	3
20201116_00001	9999.99.99	b_07	c_07	constant	16	1	1	1
20201116_00002	9999.99.99	b_07	c_07	constant	16	1	1	2
20201116_00003	9999.99.99	b_07	c_07	constant	16	1	1	3
20201116_00004	9999.99.99	b_08	c_08	constant	16	1	1	1
20201116_00005	9999.99.99	b_08	c_08	constant	16	1	1	2
20201116_00006	9999.99.99	b_08	c_08	constant	16	1	1	3
20201117_00001	9999.99.99	b_09	c_09	constant	16	1	1	1
20201117_00002	9999.99.99	b_09	c_09	constant	16	1	1	2
20201117_00003	9999.99.99	b_09	c_09	constant	16	1	1	3
20201117_00004	9999.99.99	b_10	c_10	constant	16	1	1	1
20201117_00005	9999.99.99	b_10	c_10	constant	16	1	1	2
20201117_00006	9999.99.99	b_10	c_10	constant	16	1	1	3
20201118_00001	9999.99.99	b_11	c_11	constant	16	1	1	1
20201118_00002	9999.99.99	b_11	c_11	constant	16	1	1	2
20201118_00003	9999.99.99	b_11	c_11	constant	16	1	1	3
20201118_00004	9999.99.99	b_12	c_12	constant	16	1	1	1
20201118_00005	9999.99.99	b_12	c_12	constant	16	1	1	2
20201118_00006	9999.99.99	b_12	c_12	constant	16	1	1	3
20201119_00001	9999.99.99	b_13	c_13	constant	16	1	1	1
20201119_00002	9999.99.99	b_13	c_13	constant	16	1	1	2
20201119_00003	9999.99.99	b_13	c_13	constant	16	1	1	3
20201119_00004	9999.99.99	b_14	c_14	constant	16	1	1	1
20201119_00005	9999.99.99	b_14	c_14	constant	16	1	1	2
20201119_00006	9999.99.99	b_14	c_14	constant	16	1	1	3
20201120_00001	9999.99.99	b_15	c_15	constant	16	1	1	1
