composition,richness,Chlamydomonas,Coleps_irchel,Coleps_viridis,Colpidium,Cosmarium,Cryptomonas,Desmodesmus,Dexiostoma,Didinium,Euplotes,Loxocephallus,Monoraphidium,Paramecium_bursaria,Paramecium_caudatum,Staurastrum1,Staurastrum2,Stylonychia1,Stylonychia2,Tetrahymena
c_01,7,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
c_02,7,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1
c_03,7,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0
c_04,7,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1
c_05,7,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0
c_06,9,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0
c_07,9,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1
c_08,9,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0
c_09,12,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0
c_10,12,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1
c_11,12,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0
c_12,12,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1
c_13,15,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1
c_14,15,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0
c_15,15,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1
c_16,15,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0
