file	date	bottle	composition_id	temperature_treatment	magnification	dilution_factor	sample	video
20210128_00091	28.01.21	b_01	c_08	constant	16	1	1	1
20210128_00092	28.01.21	b_01	c_08	constant	16	1	1	2
20210128_00093	28.01.21	b_01	c_08	constant	16	1	1	3
20210128_00094	28.01.21	b_02	c_02	constant	16	1	1	1
20210128_00095	28.01.21	b_02	c_02	constant	16	1	1	2
20210128_00096	28.01.21	b_02	c_02	constant	16	1	1	3
20210128_00097	28.01.21	b_03	c_11	constant	16	1	1	1
20210128_00098	28.01.21	b_03	c_11	constant	16	1	1	2
20210128_00099	28.01.21	b_03	c_11	constant	16	1	1	3
20210128_00100	28.01.21	b_04	c_05	constant	16	1	1	1
20210128_00101	28.01.21	b_04	c_05	constant	16	1	1	2
20210128_00102	28.01.21	b_04	c_05	constant	16	1	1	3
20210128_00103	28.01.21	b_05	c_13	increasing	16	1	1	1
20210128_00104	28.01.21	b_05	c_13	increasing	16	1	1	2
20210128_00105	28.01.21	b_05	c_13	increasing	16	1	1	3
20210128_00106	28.01.21	b_06	c_11	increasing	16	1	1	1
20210128_00107	28.01.21	b_06	c_11	increasing	16	1	1	2
20210128_00108	28.01.21	b_06	c_11	increasing	16	1	1	3
20210128_00109	28.01.21	b_07	c_06	increasing	16	1	1	1
20210128_00110	28.01.21	b_07	c_06	increasing	16	1	1	2
20210128_00111	28.01.21	b_07	c_06	increasing	16	1	1	3
20210128_00112	28.01.21	b_08	c_01	increasing	16	1	1	1
20210128_00113	28.01.21	b_08	c_01	increasing	16	1	1	2
20210128_00114	28.01.21	b_08	c_01	increasing	16	1	1	3
20210128_00115	28.01.21	b_09	c_02	increasing	16	1	1	1
20210128_00116	28.01.21	b_09	c_02	increasing	16	1	1	2
20210128_00117	28.01.21	b_09	c_02	increasing	16	1	1	3
20210128_00118	28.01.21	b_10	c_07	increasing	16	1	1	1
20210128_00119	28.01.21	b_10	c_07	increasing	16	1	1	2
20210128_00120	28.01.21	b_10	c_07	increasing	16	1	1	3
20210128_00121	28.01.21	b_11	c_08	increasing	16	1	1	1
20210128_00122	28.01.21	b_11	c_08	increasing	16	1	1	2
20210128_00123	28.01.21	b_11	c_08	increasing	16	1	1	3
20210128_00124	28.01.21	b_12	c_14	increasing	16	1	1	1
20210128_00125	28.01.21	b_12	c_14	increasing	16	1	1	2
20210128_00126	28.01.21	b_12	c_14	increasing	16	1	1	3
20210128_00127	28.01.21	b_13	c_06	constant	16	1	1	1
20210128_00128	28.01.21	b_13	c_06	constant	16	1	1	2
20210128_00129	28.01.21	b_13	c_06	constant	16	1	1	3
20210128_00130	28.01.21	b_14	c_03	constant	16	1	1	1
20210128_00131	28.01.21	b_14	c_03	constant	16	1	1	2
20210128_00132	28.01.21	b_14	c_03	constant	16	1	1	3
20210128_00133	28.01.21	b_15	c_14	constant	16	1	1	1
20210128_00134	28.01.21	b_15	c_14	constant	16	1	1	2
20210128_00135	28.01.21	b_15	c_14	constant	16	1	1	3
20210128_00136	28.01.21	b_16	c_15	constant	16	1	1	1
20210128_00137	28.01.21	b_16	c_15	constant	16	1	1	2
20210128_00138	28.01.21	b_16	c_15	constant	16	1	1	3
20210128_00139	28.01.21	b_17	c_05	increasing	16	1	1	1
20210128_00140	28.01.21	b_17	c_05	increasing	16	1	1	2
20210128_00141	28.01.21	b_17	c_05	increasing	16	1	1	3
20210128_00142	28.01.21	b_18	c_04	increasing	16	1	1	1
20210128_00143	28.01.21	b_18	c_04	increasing	16	1	1	2
20210128_00144	28.01.21	b_18	c_04	increasing	16	1	1	3
20210128_00145	28.01.21	b_19	c_12	increasing	16	1	1	1
20210128_00146	28.01.21	b_19	c_12	increasing	16	1	1	2
20210128_00147	28.01.21	b_19	c_12	increasing	16	1	1	3
20210128_00148	28.01.21	b_20	c_09	increasing	16	1	1	1
20210128_00149	28.01.21	b_20	c_09	increasing	16	1	1	2
20210128_00150	28.01.21	b_20	c_09	increasing	16	1	1	3
20210128_00151	28.01.21	b_21	c_07	constant	16	1	1	1
20210128_00152	28.01.21	b_21	c_07	constant	16	1	1	2
20210128_00153	28.01.21	b_21	c_07	constant	16	1	1	3
20210128_00154	28.01.21	b_22	c_10	constant	16	1	1	1
20210128_00155	28.01.21	b_22	c_10	constant	16	1	1	2
20210128_00156	28.01.21	b_22	c_10	constant	16	1	1	3
20210128_00157	28.01.21	b_23	c_04	constant	16	1	1	1
20210128_00158	28.01.21	b_23	c_04	constant	16	1	1	2
20210128_00159	28.01.21	b_23	c_04	constant	16	1	1	3
20210128_00160	28.01.21	b_24	c_13	constant	16	1	1	1
20210128_00161	28.01.21	b_24	c_13	constant	16	1	1	2
20210128_00162	28.01.21	b_24	c_13	constant	16	1	1	3
20210128_00163	28.01.21	b_25	c_03	increasing	16	1	1	1
20210128_00164	28.01.21	b_25	c_03	increasing	16	1	1	2
20210128_00165	28.01.21	b_25	c_03	increasing	16	1	1	3
20210128_00166	28.01.21	b_26	c_15	increasing	16	1	1	1
20210128_00167	28.01.21	b_26	c_15	increasing	16	1	1	2
20210128_00168	28.01.21	b_26	c_15	increasing	16	1	1	3
20210128_00169	28.01.21	b_27	c_10	increasing	16	1	1	1
20210128_00170	28.01.21	b_27	c_10	increasing	16	1	1	2
20210128_00171	28.01.21	b_27	c_10	increasing	16	1	1	3
20210128_00172	28.01.21	b_28	c_09	constant	16	1	1	1
20210128_00173	28.01.21	b_28	c_09	constant	16	1	1	2
20210128_00174	28.01.21	b_28	c_09	constant	16	1	1	3
20210128_00175	28.01.21	b_29	c_12	constant	16	1	1	1
20210128_00176	28.01.21	b_29	c_12	constant	16	1	1	2
20210128_00177	28.01.21	b_29	c_12	constant	16	1	1	3
20210128_00178	28.01.21	b_30	c_01	constant	16	1	1	1
20210128_00179	28.01.21	b_30	c_01	constant	16	1	1	2
20210128_00180	28.01.21	b_30	c_01	constant	16	1	1	3
