file	date	bottle	composition_id	temperature_treatment	magnification	dilution_factor	sample	video
20210128_00001	28.01.21	b_01	c_08	constant	25	1	1	1
20210128_00002	28.01.21	b_01	c_08	constant	25	1	1	2
20210128_00003	28.01.21	b_01	c_08	constant	25	1	1	3
20210128_00004	28.01.21	b_02	c_02	constant	25	1	1	1
20210128_00005	28.01.21	b_02	c_02	constant	25	1	1	2
20210128_00006	28.01.21	b_02	c_02	constant	25	1	1	3
20210128_00007	28.01.21	b_03	c_11	constant	25	1	1	1
20210128_00008	28.01.21	b_03	c_11	constant	25	1	1	2
20210128_00009	28.01.21	b_03	c_11	constant	25	1	1	3
20210128_00010	28.01.21	b_04	c_05	constant	25	1	1	1
20210128_00011	28.01.21	b_04	c_05	constant	25	1	1	2
20210128_00012	28.01.21	b_04	c_05	constant	25	1	1	3
20210128_00013	28.01.21	b_05	c_13	increasing	25	1	1	1
20210128_00014	28.01.21	b_05	c_13	increasing	25	1	1	2
20210128_00015	28.01.21	b_05	c_13	increasing	25	1	1	3
20210128_00016	28.01.21	b_06	c_11	increasing	25	1	1	1
20210128_00017	28.01.21	b_06	c_11	increasing	25	1	1	2
20210128_00018	28.01.21	b_06	c_11	increasing	25	1	1	3
20210128_00019	28.01.21	b_07	c_06	increasing	25	1	1	1
20210128_00020	28.01.21	b_07	c_06	increasing	25	1	1	2
20210128_00021	28.01.21	b_07	c_06	increasing	25	1	1	3
20210128_00022	28.01.21	b_08	c_01	increasing	25	1	1	1
20210128_00023	28.01.21	b_08	c_01	increasing	25	1	1	2
20210128_00024	28.01.21	b_08	c_01	increasing	25	1	1	3
20210128_00025	28.01.21	b_09	c_02	increasing	25	1	1	1
20210128_00026	28.01.21	b_09	c_02	increasing	25	1	1	2
20210128_00027	28.01.21	b_09	c_02	increasing	25	1	1	3
20210128_00028	28.01.21	b_10	c_07	increasing	25	1	1	1
20210128_00029	28.01.21	b_10	c_07	increasing	25	1	1	2
20210128_00030	28.01.21	b_10	c_07	increasing	25	1	1	3
20210128_00031	28.01.21	b_11	c_08	increasing	25	1	1	1
20210128_00032	28.01.21	b_11	c_08	increasing	25	1	1	2
20210128_00033	28.01.21	b_11	c_08	increasing	25	1	1	3
20210128_00034	28.01.21	b_12	c_14	increasing	25	1	1	1
20210128_00035	28.01.21	b_12	c_14	increasing	25	1	1	2
20210128_00036	28.01.21	b_12	c_14	increasing	25	1	1	3
20210128_00037	28.01.21	b_13	c_06	constant	25	1	1	1
20210128_00038	28.01.21	b_13	c_06	constant	25	1	1	2
20210128_00039	28.01.21	b_13	c_06	constant	25	1	1	3
20210128_00040	28.01.21	b_14	c_03	constant	25	1	1	1
20210128_00041	28.01.21	b_14	c_03	constant	25	1	1	2
20210128_00042	28.01.21	b_14	c_03	constant	25	1	1	3
20210128_00043	28.01.21	b_15	c_14	constant	25	1	1	1
20210128_00044	28.01.21	b_15	c_14	constant	25	1	1	2
20210128_00045	28.01.21	b_15	c_14	constant	25	1	1	3
20210128_00046	28.01.21	b_16	c_15	constant	25	1	1	1
20210128_00047	28.01.21	b_16	c_15	constant	25	1	1	2
20210128_00048	28.01.21	b_16	c_15	constant	25	1	1	3
20210128_00049	28.01.21	b_17	c_05	increasing	25	1	1	1
20210128_00050	28.01.21	b_17	c_05	increasing	25	1	1	2
20210128_00051	28.01.21	b_17	c_05	increasing	25	1	1	3
20210128_00052	28.01.21	b_18	c_04	increasing	25	1	1	1
20210128_00053	28.01.21	b_18	c_04	increasing	25	1	1	2
20210128_00054	28.01.21	b_18	c_04	increasing	25	1	1	3
20210128_00055	28.01.21	b_19	c_12	increasing	25	1	1	1
20210128_00056	28.01.21	b_19	c_12	increasing	25	1	1	2
20210128_00057	28.01.21	b_19	c_12	increasing	25	1	1	3
20210128_00058	28.01.21	b_20	c_09	increasing	25	1	1	1
20210128_00059	28.01.21	b_20	c_09	increasing	25	1	1	2
20210128_00060	28.01.21	b_20	c_09	increasing	25	1	1	3
20210128_00061	28.01.21	b_21	c_07	constant	25	1	1	1
20210128_00062	28.01.21	b_21	c_07	constant	25	1	1	2
20210128_00063	28.01.21	b_21	c_07	constant	25	1	1	3
20210128_00064	28.01.21	b_22	c_10	constant	25	1	1	1
20210128_00065	28.01.21	b_22	c_10	constant	25	1	1	2
20210128_00066	28.01.21	b_22	c_10	constant	25	1	1	3
20210128_00067	28.01.21	b_23	c_04	constant	25	1	1	1
20210128_00068	28.01.21	b_23	c_04	constant	25	1	1	2
20210128_00069	28.01.21	b_23	c_04	constant	25	1	1	3
20210128_00070	28.01.21	b_24	c_13	constant	25	1	1	1
20210128_00071	28.01.21	b_24	c_13	constant	25	1	1	2
20210128_00072	28.01.21	b_24	c_13	constant	25	1	1	3
20210128_00073	28.01.21	b_25	c_03	increasing	25	1	1	1
20210128_00074	28.01.21	b_25	c_03	increasing	25	1	1	2
20210128_00075	28.01.21	b_25	c_03	increasing	25	1	1	3
20210128_00076	28.01.21	b_26	c_15	increasing	25	1	1	1
20210128_00077	28.01.21	b_26	c_15	increasing	25	1	1	2
20210128_00078	28.01.21	b_26	c_15	increasing	25	1	1	3
20210128_00079	28.01.21	b_27	c_10	increasing	25	1	1	1
20210128_00080	28.01.21	b_27	c_10	increasing	25	1	1	2
20210128_00081	28.01.21	b_27	c_10	increasing	25	1	1	3
20210128_00082	28.01.21	b_28	c_09	constant	25	1	1	1
20210128_00083	28.01.21	b_28	c_09	constant	25	1	1	2
20210128_00084	28.01.21	b_28	c_09	constant	25	1	1	3
20210128_00085	28.01.21	b_29	c_12	constant	25	1	1	1
