sample,bottle,dilution_factor
A01,b_01,30
B01,b_02,30
C01,b_03,30
D01,b_04,30
E01,b_05,30
F01,b_06,30
G01,b_07,30
H01,b_08,30
A02,b_09,30
B02,b_10,30
C02,b_11,30
D02,b_12,30
E02,b_13,30
F02,b_14,30
G02,b_15,30
H02,b_16,30
A03,b_17,30
B03,b_18,30
C03,b_19,30
D03,b_20,30
E03,b_21,30
F03,b_22,30
G03,b_23,30
H03,b_24,30
A04,b_25,30
B04,b_26,30
C04,b_27,30
D04,b_28,30
E04,b_29,30
F04,b_30,30
G04,b_31,30
H04,b_32,30
A05,b_01,10
B05,b_02,10
C05,b_03,10
D05,b_04,10
E05,b_05,10
F05,b_06,10
G05,b_07,10
H05,b_08,10
A06,b_09,10
B06,b_10,10
C06,b_11,10
D06,b_12,10
E06,b_13,10
F06,b_14,10
G06,b_15,10
H06,b_16,10
A07,b_17,10
B07,b_18,10
C07,b_19,10
D07,b_20,10
E07,b_21,10
F07,b_22,10
G07,b_23,10
H07,b_24,10
A08,b_25,10
B08,b_26,10
C08,b_27,10
D08,b_28,10
E08,b_29,10
F08,b_30,10
G08,b_31,10
H08,b_32,10
A09,b_100,10
B09,b_100,10
C09,b_100,10
D09,b_101,10
E09,b_101,10
F09,b_101,10
