bottle,temperature,richness,composition,incubator
b_01,constant,15,c_15,A
b_02,constant,9,c_07,A
b_03,constant,12,c_09,A
b_04,constant,7,c_04,A
b_05,increasing,7,c_04,B
b_06,increasing,12,c_12,B
b_07,increasing,15,c_14,B
b_08,increasing,9,c_08,B
b_09,increasing,15,c_13,C
b_10,increasing,12,c_11,C
b_11,increasing,7,c_02,C
b_12,increasing,9,c_07,C
b_13,constant,12,c_12,D
b_14,constant,7,c_01,D
b_15,constant,9,c_06,D
b_16,constant,15,c_14,D
b_17,increasing,9,c_06,E
b_18,increasing,7,c_05,E
b_19,increasing,15,c_16,E
b_20,increasing,12,c_09,E
b_21,constant,15,c_16,F
b_22,constant,7,c_03,F
b_23,constant,12,c_10,F
b_24,constant,9,c_08,F
b_25,increasing,12,c_10,G
b_26,increasing,7,c_03,G
b_27,increasing,7,c_01,G
b_28,increasing,15,c_15,G
b_29,constant,15,c_13,H
b_30,constant,7,c_05,H
b_31,constant,7,c_02,H
b_32,constant,12,c_11,H
